customer_name;rfm_recency;rfm_frequency;rfm_monetary;rfm_sum_string;rfm_segment
Natalie DeCherney;4;4;4;444;loyal customer
Theone Pippenger;4;4;4;444;loyal customer
Stewart Visinsky;1;4;4;144;big customer, cannot lose
Frank Merwin;3;4;4;344;active customer
Ed Braxton;3;4;3;343;active customer
Ben Peterman;4;4;4;444;loyal customer
Christopher Schild;4;4;3;443;loyal customer
Ken Heidel;3;4;4;344;active customer
Michael Paige;3;4;4;344;active customer
Quincy Jones;4;4;4;444;loyal customer
Shirley Daniels;1;4;4;144;big customer, cannot lose
Cassandra Brandow;3;4;4;344;active customer
Grace Kelly;2;4;4;244;big customer, cannot lose
Dan Reichenbach;4;4;4;444;loyal customer
Shahid Collister;4;4;4;444;loyal customer
Stefania Perrino;3;4;4;344;active customer
Dennis Pardue;1;4;4;144;big customer, cannot lose
Mick Hernandez;4;4;4;444;loyal customer
Jim Kriz;2;4;4;244;big customer, cannot lose
Erin Smith;4;4;4;444;loyal customer
Sample Company A;3;4;4;344;active customer
Philisse Overcash;2;4;4;244;big customer, cannot lose
Joe Kamberova;2;4;4;244;big customer, cannot lose
Russell Applegate;4;4;4;444;loyal customer
Dean Katz;4;4;4;444;loyal customer
Alan Hwang;4;4;4;444;loyal customer
Tracy Blumstein;2;4;4;244;big customer, cannot lose
Sanjit Chand;1;4;4;144;big customer, cannot lose
Brenda Bowman;4;4;4;444;loyal customer
Nona Balk;4;4;2;442;loyal customer
Paul Gonzalez;3;4;2;342;active customer
Stephanie Phelps;1;4;2;142;lost customer
Cindy Chapman;3;4;2;342;active customer
Cyma Kinney;2;4;2;242;lost customer
Logan Haushalter;1;4;2;142;lost customer
Julie Prescott;2;4;2;242;lost customer
Greg Guthrie;3;4;3;343;active customer
Lena Hernandez;4;4;3;443;loyal customer
Cynthia Voltz;4;4;3;443;loyal customer
Ralph Arnett;4;4;3;443;loyal customer
Logan Currie;4;4;3;443;loyal customer
Fred McMath;2;4;3;243;big customer, cannot lose
Nick Zandusky;2;4;3;243;big customer, cannot lose
Marina Lichtenstein;3;4;3;343;active customer
Trudy Brown;3;4;3;343;active customer
John Castell;2;4;3;243;big customer, cannot lose
Gary Hansen;3;4;3;343;active customer
Rob Dowd;2;4;3;243;big customer, cannot lose
David Smith;4;4;3;443;loyal customer
Becky Castell;1;4;3;143;big customer, cannot lose
Lindsay Shagiari;4;4;3;443;loyal customer
Ruben Dartt;2;4;3;243;big customer, cannot lose
Maxwell Schwartz;2;4;3;243;big customer, cannot lose
Jack O'Briant;3;4;3;343;active customer
Adam Shillingsburg;4;4;3;443;loyal customer
Sarah Foster;3;4;3;343;active customer
Rob Williams;2;4;3;243;big customer, cannot lose
Dan Campbell;3;4;3;343;active customer
Sylvia Foulston;3;4;3;343;active customer
Muhammed MacIntyre;2;4;1;241;lost customer
Michael Granlund;2;4;1;241;lost customer
Tamara Dahlen;3;4;2;342;active customer
Karl Braun;1;4;2;142;lost customer
Mark Van Huff;4;4;2;442;loyal customer
Odella Nelson;1;4;2;142;lost customer
Denny Ordway;2;4;2;242;lost customer
Tony Chapman;2;4;2;242;lost customer
Alejandro Ballentine;2;4;1;241;lost customer
Allen Armold;4;4;1;441;active customer
Gene McClure;2;4;2;242;lost customer
Bryan Mills;1;4;2;142;lost customer
Maria Bertelson;3;4;2;342;active customer
Roger Demir;4;4;2;442;loyal customer
Jeremy Farry;2;4;1;241;lost customer
Pauline Webber;3;4;3;343;active customer
Adam Hart;3;4;3;343;active customer
Arthur Prichep;2;4;3;243;big customer, cannot lose
Edward Becker;3;4;3;343;active customer
Eugene Hildebrand;2;4;3;243;big customer, cannot lose
Julie Kriz;2;4;3;243;big customer, cannot lose
Chuck Clark;4;4;3;443;loyal customer
Justin MacKendrick;3;4;3;343;active customer
Emily Burns;2;4;3;243;big customer, cannot lose
Frank Olsen;3;4;3;343;active customer
Steve Chapman;2;4;3;243;big customer, cannot lose
Filia McAdams;4;4;3;443;loyal customer
Dean Braden;4;4;3;443;loyal customer
Mick Crebagga;3;4;3;343;active customer
Shahid Hopkins;4;4;2;442;loyal customer
Neoma Murray;1;4;2;142;lost customer
Jennifer Braxton;4;4;2;442;loyal customer
Paul Prost;2;4;4;244;big customer, cannot lose
Maribeth Schnelling;1;4;4;144;big customer, cannot lose
Harry Marie;4;4;4;444;loyal customer
Adrian Barton;3;4;4;344;active customer
Seth Vernon;2;4;4;244;big customer, cannot lose
John Lee;4;4;4;444;loyal customer
Edward Hooks;2;4;4;244;big customer, cannot lose
Joe Elijah;3;4;4;344;active customer
Maria Etezadi;3;4;4;344;active customer
Kean Thornton;2;4;4;244;big customer, cannot lose
Sue Ann Reed;3;4;4;344;active customer
William Brown;4;4;4;444;loyal customer
Victoria Wilson;4;4;4;444;loyal customer
Annie Thurman;4;4;4;444;loyal customer
Michael Moore;4;4;3;443;loyal customer
Muhammed Yedwab;3;4;3;343;active customer
Sung Pak;2;4;4;244;big customer, cannot lose
Frank Hawley;3;4;4;344;active customer
Arthur Gainer;2;4;4;244;big customer, cannot lose
Arianne Irving;4;4;4;444;loyal customer
Suzanne McNair;4;4;4;444;loyal customer
Matt Abelman;3;4;4;344;active customer
Sam Zeldin;3;4;3;343;active customer
Chris Cortes;4;4;3;443;loyal customer
Ben Ferrer;4;4;4;444;loyal customer
Steven Cartwright;1;4;4;144;big customer, cannot lose
Sanjit Engle;4;4;4;444;loyal customer
Greg Tran;3;4;4;344;active customer
Laura Armstrong;2;4;4;244;big customer, cannot lose
Patrick O'Brill;4;4;4;444;loyal customer
Jonathan Doherty;1;4;4;144;big customer, cannot lose
Brian Moss;3;4;4;344;active customer
Dean percer;2;4;4;244;big customer, cannot lose
James Galang;4;4;4;444;loyal customer
Clytie Kelty;3;4;3;343;active customer
Xylona Preis;3;4;3;343;active customer
Carlos Soltero;4;4;3;443;loyal customer
Christine Sundaresam;4;4;3;443;loyal customer
Guy Armstrong;4;4;2;442;loyal customer
George Bell;3;4;2;342;active customer
Henry Goldwyn;4;4;3;443;loyal customer
Damala Kotsonis;4;4;3;443;loyal customer
Sally Hughsby;4;4;3;443;loyal customer
Ken Black;1;4;3;143;big customer, cannot lose
Erin Ashbrook;2;4;3;243;big customer, cannot lose
Chris Selesnick;4;4;3;443;loyal customer
Noel Staavos;2;4;3;243;big customer, cannot lose
Bart Pistole;4;4;3;443;loyal customer
Lena Creighton;4;4;4;444;loyal customer
Pete Kriz;4;4;4;444;loyal customer
Keith Dawkins;2;4;4;244;big customer, cannot lose
Anna Häberlin;1;4;4;144;big customer, cannot lose
Clay Ludtke;1;4;4;144;big customer, cannot lose
Ken Lonsdale;3;4;4;344;active customer
Bill Donatelli;3;4;4;344;active customer
Rick Bensley;4;4;4;444;loyal customer
Resi Pölking;3;4;4;344;active customer
Sanjit Jacobs;2;4;4;244;big customer, cannot lose
Zuschuss Carroll;3;4;4;344;active customer
Joel Eaton;3;4;4;344;active customer
Chloris Kastensmidt;3;4;3;343;active customer
Patrick Gardner;3;4;3;343;active customer
Emily Phan;4;4;4;444;loyal customer
